kdrama_id,kdrama_name,recommended_title,recommended_id
,Mask Girl,Sympathy for Lady Vengeance,
,Mask Girl,True Beauty,c94889cc5dff4d89bd8bc2711dcae08c
,Mask Girl,"Coffee, Do Me a Favor",d9cc9b3b8dbc4359ade4565c0bc348b4
,Mask Girl,Old Boy,
,Mask Girl,Somebody,7ac7793b431849d7bbef43d8c08b3181
,Mask Girl,Forgotten,
661d4193916c4e71a2c70473ab11e9e8,Sing My Crush,About Youth,80ecaff9d10242b48cf349f7535b16a5
661d4193916c4e71a2c70473ab11e9e8,Sing My Crush,Wish You: Your Melody From My Heart,3207a7aab81a42d49d024ef616f4d254
661d4193916c4e71a2c70473ab11e9e8,Sing My Crush,Our Dating Sim,f9860c4b65b746d7af2b545cd152a4b6
661d4193916c4e71a2c70473ab11e9e8,Sing My Crush,You Make Me Dance,2c33674ac4a841ac9509c52b1e08ad71
5ffcbeaa17114714af1959129984274c,D.P. Season 2,Designated Survivor: 60 Days,04fc69715c0d4954987a715b42f119b8
5ffcbeaa17114714af1959129984274c,D.P. Season 2,D.P.,d4d060cfc1ff4c9bbf42f88914566a89
5ffcbeaa17114714af1959129984274c,D.P. Season 2,Weak Hero Class 1,204b00ef75ab42e18d0a385146394e3a
,Not Others,You're All Surrounded,
,Not Others,Hometown Cha-Cha-Cha,08a4b2f383a742a79bf0a0f5983108e0
,Not Others,Live,43e5a83454f343029d1df64d8b5ee91b
65075cb9c1a54be4a441cee6f16c9fdf,Shadow Detective Season 2,WATCHER,e509c1795c104a239bfb9afde034373c
65075cb9c1a54be4a441cee6f16c9fdf,Shadow Detective Season 2,Stranger,0cf45137b1fa47b6bfcbf74ccd2543ce
65075cb9c1a54be4a441cee6f16c9fdf,Shadow Detective Season 2,Stranger Season 2,e9ce9749c8b34842876293d0908fb20d
65075cb9c1a54be4a441cee6f16c9fdf,Shadow Detective Season 2,Reborn Rich,3480df3c84b54e9ca6f820f9b7b46fc4
04c1fe41948e464fb440001831d74d41,Celebrity,Little Women,adf30bba1f0741f8863d050f5a058cd4
04c1fe41948e464fb440001831d74d41,Celebrity,The Penthouse: War in Life,f6dd5986e43842e3a6497e1aa92c708b
04c1fe41948e464fb440001831d74d41,Celebrity,Followers,
04c1fe41948e464fb440001831d74d41,Celebrity,The Comments,
04c1fe41948e464fb440001831d74d41,Celebrity,Eve,badf93adf3f84753ba611e894dbf9216
04c1fe41948e464fb440001831d74d41,Celebrity,Hope or Dope,233d4519d4de4f568eff0a1002c27460
df0f0ac4b3ff4b15afa26f5a7a53a328,To Be Honest,No Recommendation,
,Miraculous Brothers,Memorist,55db777c2612478eae9f3051fada16a8
,Miraculous Brothers,Grid,d2e509b0293549bab62b76a9f8630956
,Miraculous Brothers,He Is Psychometric,1ccd5826f5214b538c662de72385d9fe
,Miraculous Brothers,I Hear Your Voice,
,Miraculous Brothers,W,43ae0e3e25194af9b014491ddc311456
,Miraculous Brothers,Circle,ac61c5bd48a04850a60d7f41ea4fdee2
2e06f3f0c28942fd8b8e4780f5e666dc,Blue Temperature,No Recommendation,
,Heartbeat,Hotel del Luna,789d1bb521d74eab961005a28603a39b
,Heartbeat,Tale of the Nine-Tailed,b111d3b06cb540d5b8fe7f48220e7325
,Heartbeat,Kissable Lips,9245d89cad664003a60362091077fe3e
,Heartbeat,100 Days My Prince,53c858d11a284859a1f50699b5aa6f51
,Heartbeat,The Vampires,
,Heartbeat,The Sweet Blood,a144e872feb1413c9764cc746694ce57
,Durian's Affair,Queen In Hyun's Man,
,Durian's Affair,Rooftop Prince,
,Durian's Affair,Live Up to Your Name,64d37e4a8d0447f0b5d1c7149edd1ac4
,Durian's Affair,The Story of Park's Marriage Contract,
4c99e91ea0d447639659b8c33f92c909,Revenant,Island,b5315a2fbebc4e7b8452bb120b803509
4c99e91ea0d447639659b8c33f92c909,Revenant,The Guest,98894ac6b071487085050c297d67ea76
4c99e91ea0d447639659b8c33f92c909,Revenant,Uzukawamura Jiken,
4c99e91ea0d447639659b8c33f92c909,Revenant,Possessed,af6e21b08a3041b79651a79d8ad06198
4c99e91ea0d447639659b8c33f92c909,Revenant,Tomorrow,1d1a54915b1042ef9cf2c75ad756c29f
4c99e91ea0d447639659b8c33f92c909,Revenant,The Uncanny Counter,1451ba78193e4698baa2f1c448e57fa6
e632ba76285f438d9448852dd31bcd96,Numbers,The Devil Judge,22dca69dbdb74efa9566fa28551fbf5e
e632ba76285f438d9448852dd31bcd96,Numbers,Misaeng: Incomplete Life,
e632ba76285f438d9448852dd31bcd96,Numbers,Hush,a021b0023c9e443ea1ad484704acb19b
e632ba76285f438d9448852dd31bcd96,Numbers,Stranger,0cf45137b1fa47b6bfcbf74ccd2543ce
e632ba76285f438d9448852dd31bcd96,Numbers,Hanzawa Naoki,
e632ba76285f438d9448852dd31bcd96,Numbers,Suits,96dad0cf51c04430a3afbc5a6f7f86d5
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,The Penthouse: War in Life,f6dd5986e43842e3a6497e1aa92c708b
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,I Want to Know Your Parents,
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,Memoir of a Murderer,
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,Strangers from Hell,2e5a97aa1ad24ebd95fb0d2094b5cedb
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,Parasite,
565dbf05b124487fa6abf463ae6eeece,Lies Hidden in My Garden,Anna,b14f976f30dc4d6d881e1fc26ce900f9
4afb1765522e4274ad993de46e3fb02e,Adult Kids,No Recommendation,
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,To All The Guys Who Loved Me,bbd34e01d1c04af79446a2e04ca582d4
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,The Beauty Inside,b0159482e9d04355a65fb5e1463b9675
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,Alchemy of Souls Season 2: Light and Shadow,eb312ec94d314c86a2b2b2f1e2b2e159
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,Goblin,137d70ddd7c24a97968d70abd8812545
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,King the Land,24ecf5e1ed6b4d60a6e2e179fc845666
46b4058342e44e53aa218ac1dd40c77c,See You in My 19th Life,Bulgasal: Immortal Souls,fbbb973ea84c45b190a58b3db6d22c1a
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,A Business Proposal,f4e7284c0e4248d0b5adb16bfe4974c9
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,What's Wrong with Secretary Kim,8b077b78582d4cbb978847dfcb394e13
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,Hotel Trainees,
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,King2Hearts,
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,Stairway to Heaven,
24ecf5e1ed6b4d60a6e2e179fc845666,King the Land,Save the Last Dance for Me,
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,My Name,9e3a7ea7a3724ae1863bafc75aa286f4
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,D.P.,d4d060cfc1ff4c9bbf42f88914566a89
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,Taxi Driver,2953c8e2ef2d4f109200cb8a40f266bf
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,Extracurricular,1ea5167c67f54d39a3d986bd93a2e21b
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,Midnight Runners,
6dca9e88afdb445bbe008289540f56f0,Bloodhounds,Bad and Crazy,52225793342e440d90354d4a0f305586
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,Restart After Come Back Home,
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,Boku mo Aitsu mo Shinrodesu,
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,A Tale of Thousand Stars,
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,Kimi no Koto Dake Mite Itai,
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,Tabi Suru Sandwich,
9213b6aa40cc454d8155d68322c73fbd,Love Tractor,Cupid's Last Wish,
e16e394bd66847fa87501e8bbf4062e8,Romance by Romance,No Recommendation,
b5b3c87821834977b4a94c0b74fa9be1,The Villain of Romance,No Recommendation,
e40375435aa7440e8303aaaea4cc8648,Sound Candy,No Recommendation,
a4b48d65e0704101bc0f77b36bb6b5ee,Battle for Happiness,Green Mothers' Club,fb81a8235c8040bc902f119ac15d8a97
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,Class of Lies,d1b68f3de0c242c88479a00b2249f49e
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,Weak Hero Class 1,204b00ef75ab42e18d0a385146394e3a
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,Revenge of Others,c74f9e29686e4c23aadae288655e28ff
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,Extracurricular,1ea5167c67f54d39a3d986bd93a2e21b
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,Solomon's Perjury 1: Suspicion,
ede6d42db893475c8b8383e6d680ab0f,Bitch X Rich,Shadow Beauty,46b459b646b448bbb963e6eb2926176c
147ea55381da4886aead4a4329c6eabc,Delightfully Deceitful,Taxi Driver,2953c8e2ef2d4f109200cb8a40f266bf
147ea55381da4886aead4a4329c6eabc,Delightfully Deceitful,The Confidence Man JP,
147ea55381da4886aead4a4329c6eabc,Delightfully Deceitful,Leverage,0693326f6a9a4a2f8b1e07d4ae4cd990
147ea55381da4886aead4a4329c6eabc,Delightfully Deceitful,38 Task Force,701a7aa915da4f4ea96f5006308a4e76
0c9607d2ecac493a8d83ef254870c401,One Day Off,Aruku Hito,
0c9607d2ecac493a8d83ef254870c401,One Day Off,One Million Yen Girl,
0c9607d2ecac493a8d83ef254870c401,One Day Off,Mystic TV: Surprise,
0c9607d2ecac493a8d83ef254870c401,One Day Off,"Tetsu Ota Michiko, 2 Man Kiro",
0c9607d2ecac493a8d83ef254870c401,One Day Off,Be Melodramatic,dc7a118b1dc744c0a9cac8ac00ffff01
0c9607d2ecac493a8d83ef254870c401,One Day Off,Love Shuffle,
47b65449450d478c96e0612571583cdf,Star Struck,A Shoulder to Cry On,9fac512793284ba0bcbaefbdce239691
47b65449450d478c96e0612571583cdf,Star Struck,A First Love Story,
213b74d7e6e542baa6a8f3ee394ce43e,Oh! Youngsim,Sh**ting Stars,e9d858e217fc4a0c91b6d0789a0a8ab8
213b74d7e6e542baa6a8f3ee394ce43e,Oh! Youngsim,Love Is for Suckers,c726ced6653f4760a231a5c9e6b7173a
e27854d516a540a58be30f87b77906f5,Black Knight,Sweet Home,4555d12062bb4cb19b8e1f9f4f6e628c
e27854d516a540a58be30f87b77906f5,Black Knight,Weak Hero Class 1,204b00ef75ab42e18d0a385146394e3a
e27854d516a540a58be30f87b77906f5,Black Knight,The Sound of Your Heart,504271bc35744ee899e28560fc441987
e27854d516a540a58be30f87b77906f5,Black Knight,Circle,ac61c5bd48a04850a60d7f41ea4fdee2
e27854d516a540a58be30f87b77906f5,Black Knight,The Silent Sea,fc2b4039d942494c935fc90ee0536b02
e27854d516a540a58be30f87b77906f5,Black Knight,Grid,d2e509b0293549bab62b76a9f8630956
131df87dd38a4036bed05a8b4f96c891,Race,Misaeng: Incomplete Life,
131df87dd38a4036bed05a8b4f96c891,Race,Search: WWW,530f7a3787d7479d886d2fcc0f910a52
d623b6c1059c493c8b7fe4c4fa3f107b,It Was Spring,No Recommendation,
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,Doom at Your Service,4717625475374118818cfffa38a03aea
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,The Legend of the Blue Sea,609dd0c5db9f4b65aa9597e23322584f
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,Chicago Typewriter,c129be3ebedf4395b8c685dc93cea1fe
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,Goblin,137d70ddd7c24a97968d70abd8812545
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,Tale of the Nine-Tailed Season 3,
2ace8af95b164196a3ad74c147c51f65,Tale of the Nine-Tailed 1938,My Love from the Star,
1470331acb00483eaaa620cbfbc81737,All That We Loved,20th Century Girl,
1470331acb00483eaaa620cbfbc81737,All That We Loved,Reply 1988,f37f659336624834ad98e1ebf8866d1f
1470331acb00483eaaa620cbfbc81737,All That We Loved,"At a Distance, Spring Is Green",8492dd3311d6401da96e3bc8d4b950ca
756ab26b55c44e1da0c6ede35d41b712,Love Mate,Semantic Error,ec80f88a2e594a909facc164a0d73363
756ab26b55c44e1da0c6ede35d41b712,Love Mate,Happy Merry Ending,95b9396130b1478398d12faf08797097
756ab26b55c44e1da0c6ede35d41b712,Love Mate,Our Dating Sim,f9860c4b65b746d7af2b545cd152a4b6
756ab26b55c44e1da0c6ede35d41b712,Love Mate,Jun & Jun,
756ab26b55c44e1da0c6ede35d41b712,Love Mate,Love Tractor,9213b6aa40cc454d8155d68322c73fbd
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,Nine: Nine Times Time Travel,
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,I Don't Want to Be Friends With You,
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,Life on Mars,e4f5ecfda3584c4bb1f88b472c759290
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,My Strange Hero,7e82cd2fc28a4464b4bf9fbdf412a468
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,Tomorrow With You,b445201ea9c64d36a402e4c92ee48810
3974d947cd2d4408a4f9d18b42b8a1c7,My Perfect Stranger,18 Again,d16ff503ce6a4623a631eaeb99e49e15
69218fd6536e4fbbad34d6b5b7e8e861,Finland Papa,No Recommendation,
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,D-Day,10b41e7bdf75454293f1bda3bff36102
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,Hospital Playlist,f56738c9f0c345029991e7e93e239f6a
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,Hospital Playlist Season 2,179a8de0480e4349815de69072857ccd
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,Dr. Romantic Season 2,79c4732493654aea9f181811e289adc4
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,Dr. Romantic,f6bd13fcc445460a97435fc0462287b2
4231465c4db740d99c3a91377e851167,Dr. Romantic Season 3,Code Blue,
95b9396130b1478398d12faf08797097,Happy Merry Ending,The Eighth Sense,84f5fe50666c49a7b6f06f000cf9d25f
95b9396130b1478398d12faf08797097,Happy Merry Ending,Love Mate,756ab26b55c44e1da0c6ede35d41b712
32f5d659283342499ea843a95a82a163,The Good Bad Mother,Again My Life,ad9f29548ba14137ab9c8b8a79340cae
32f5d659283342499ea843a95a82a163,The Good Bad Mother,"Hanbun, Aoi",
32f5d659283342499ea843a95a82a163,The Good Bad Mother,Once Upon a Small Town,2951261cfd82412f96629265b2d485dd
32f5d659283342499ea843a95a82a163,The Good Bad Mother,Hometown Cha-Cha-Cha,08a4b2f383a742a79bf0a0f5983108e0
32f5d659283342499ea843a95a82a163,The Good Bad Mother,Top Star Yoo Baek,4b66bb4d1a604912805c9f16b6be353c
32f5d659283342499ea843a95a82a163,The Good Bad Mother,Summer Strike,fee91be5beab46cc9e1a814f7feafc33
ddbb3f7643a741cab040a5d901ff5621,Queen of Masks,Mine,b10fafe43d8d496893f58fa50cdfab5a
ddbb3f7643a741cab040a5d901ff5621,Queen of Masks,Eve,badf93adf3f84753ba611e894dbf9216
9a7ab3e975a14d53b4168b70b1264ab0,My 20th Twenty,No Recommendation,
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,All of Us Are Dead,fa66edaa18174140a493953f362adb82
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,Kingdom,9f8e50b4334c447ba388895b4722fb50
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,Kingdom Season 2,6c1839039a8941628bd62a2715c0abe9
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,Dark Hole,1c5638485beb4b3286faaff36e3e32af
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,Imawa no Kuni no Alice,
6b7782a36bfd47a4a787018ab0b3c5fb,Duty After School: Part 2,Imawa no Kuni no Alice Season 2,
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,Flower of Evil,c1d3c683bc67477596c61595997a18df
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,Myung Wol the Spy,
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,Kill Bok Soon,
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,Fated to Love You,
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,The Killer: A Girl Who Deserves to Die,
36a8ad9a260f4e9785eb84a352ed1082,Family: The Unbreakable Bond,Terius Behind Me,9426ba800160477084e495c36c0d92e0
ddf16355b9ac4a99bbc9944005716be8,Strong Underdog,No Recommendation,
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,Twenty Again,e067d4c2efdc43028a0410cc23c6e8eb
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,Emergency Couple,
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,Romance Is a Bonus Book,3fc031d7683c41bdaaff8b5d6c33bc17
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,"Hi Bye, Mama!",fd0a2b67150542beaad7d172ea66b360
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,Wedding,
797990c3edb0455684569d2c9b6fb8f8,Doctor Cha,Hospital Playlist,f56738c9f0c345029991e7e93e239f6a
df60bafa9d4e48fe892e5a3224ee95a4,Queenmaker,Reborn Rich,3480df3c84b54e9ca6f820f9b7b46fc4
df60bafa9d4e48fe892e5a3224ee95a4,Queenmaker,Why Her?,57b95439d5f24807b21ad5d5b120b533
df60bafa9d4e48fe892e5a3224ee95a4,Queenmaker,Kingmaker,
df60bafa9d4e48fe892e5a3224ee95a4,Queenmaker,Money Flower,b1d1074411b743ef9f95bcaeb21b243f
df60bafa9d4e48fe892e5a3224ee95a4,Queenmaker,Hot Stove League,ffaea06bfdc44eec862e24a580c13d7f
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,Forecasting Love and Weather,816b51849094447f89adce232344a04c
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,A Business Proposal,f4e7284c0e4248d0b5adb16bfe4974c9
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,My Lovely Sam Soon,
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,Love to Hate You,a1d22c0ed9d7434cb019808fbb84931d
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,Touch Your Heart,9cfc95bb5cc24d9da3d9f3d3c9eb1ce5
297ac1c142f246658fcfde4a08bb8ba4,Bo Ra! Deborah,Hometown Cha-Cha-Cha,08a4b2f383a742a79bf0a0f5983108e0
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,Leverage,0693326f6a9a4a2f8b1e07d4ae4cd990
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,Ghost Doctor,bff00514de05407aadfe5e46df7e6ee5
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,Kaitou Yamaneko,
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,Healer,
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,The Silence of the Monster,
3a1eb86b79944960b52877b8570a5614,Stealer: The Treasure Keeper,Iljimae,
ce34fc07d8e24fa28d2aa66b73e2b916,Pale Moon,Woman of 9.9 Billion,ab92976ce4ca45b09867e4567bbf8be0
ce34fc07d8e24fa28d2aa66b73e2b916,Pale Moon,Lost,4ca31b1d115e428e8068f3bdbe2aa22c
5d09282602294569ad3b03d314fd4656,Decoy: Part 2,No Recommendation,
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,All of Us Are Dead,fa66edaa18174140a493953f362adb82
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,Train to Busan,
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,Search,2ce12bdc90384754aab7923cbc0b24df
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,Sweet Home,4555d12062bb4cb19b8e1f9f4f6e628c
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,Imawa no Kuni no Alice,
18e59f4c002046a68a2b22244f0ce58d,Duty After School: Part 1,Hellbound,67c7b25ff0e24f6b9c9ec541aef469ed
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,Secret Royal Inspector,0679eb9055a949f7bac39d0c5dda5597
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,Secret Royal Inspector & Joy,9bd402e387bb4acbbaa619f336c03733
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,Moonshine,533226ccb2f54c9d871bfbdf5942b59c
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,Lawless Lawyer,904d03fcc0ac4b09a6cfeca04ba398a5
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,One Dollar Lawyer,9aed3bf1ca164ef381c8596c0fc2538d
80c7288b96724e56be7facb88b4b52f5,Joseon Attorney: A Morality,Good Manager,f844285673a74ab7a4b33dd7a1f66652
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,Our Dating Sim,f9860c4b65b746d7af2b545cd152a4b6
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,Blueming,7edb2a10033f41a89fc05a1dc564698a
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,About Youth,80ecaff9d10242b48cf349f7535b16a5
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,A Shoulder to Cry On,9fac512793284ba0bcbaefbdce239691
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,180 Degree Longitude Passes Through Us,
84f5fe50666c49a7b6f06f000cf9d25f,The Eighth Sense,"I'm a Cyborg, But That's OK",
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,Sungkyunkwan Scandal,
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,Flower Crew: Joseon Marriage Agency,31d17ca0c8e34bffa4daabfe889002e6
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,Hwarang,543b116878f8497eb6bb2aa39a59cab9
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,Rookie Historian Goo Hae Ryung,6e7ff68ae5a548df904035491d95c25f
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,100 Days My Prince,53c858d11a284859a1f50699b5aa6f51
4f73eff09b454c9c92641e385951f120,The Secret Romantic Guesthouse,Iljimae,
002397298f1d4b01abe2abcb0e1f5050,Welcome to the Lesbian Bar,She Makes My Heart Flutter,95e5e03eb80348a3ad5e873c302c01a6
002397298f1d4b01abe2abcb0e1f5050,Welcome to the Lesbian Bar,Shinya Shokudo,
002397298f1d4b01abe2abcb0e1f5050,Welcome to the Lesbian Bar,Our Relationship Ended Before It Began,45b9c677e6254f11ae5e185ef42a1e4d
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,Old Fashion Cupcake,
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,You Make Me Dance,2c33674ac4a841ac9509c52b1e08ad71
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,To My Star Season 2: Our Untold Stories,02969507328442baa65e04c8c64bf2ce
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,A Shoulder to Cry On,9fac512793284ba0bcbaefbdce239691
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,Our Dating Sim,f9860c4b65b746d7af2b545cd152a4b6
b5f931b0e63048d6a5f20c9f42632979,Unintentional Love Story,The Eighth Sense,84f5fe50666c49a7b6f06f000cf9d25f
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,Semantic Error,ec80f88a2e594a909facc164a0d73363
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,We Best Love: No. 1 For You,
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,Dangerous Romance,
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,Utsukushii Kare,
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,The Tasty Florida,d753b5b97c234b9d93462b3e0c45208d
9fac512793284ba0bcbaefbdce239691,A Shoulder to Cry On,"At a Distance, Spring Is Green",8492dd3311d6401da96e3bc8d4b950ca
8008ffaff64a4062869651228745421a,My Sister,No Recommendation,
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,Gold Mask,9f14f7247af44db7ba4462833d5dfa4a
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,A Man in a Veil,041c25d190f940e39ba4b17d69832294
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,Bad Love,c5aaf1fa08a34aaf92b9f0cca159970d
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,Golden Pouch,6dc181ba597047c382be1dc1f8f75dec
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,Gangnam Scandal,03d45fb13e574161a511e40bf3db56c3
8d7a9e8c74574726a484d0bee21c16e6,Woman in a Veil,Second Husband,48dfcbd6e89d40d09f431cf453ff1551
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,Undercover,d70aea9eb9f140fbb2d588ad86849e18
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,Misty,0b853ae3ec764d24b365e55a0959cb85
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,The Penthouse Season 2: War in Life,b547b2026b584d90be4cf510dca1d0d8
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,The Penthouse Season 3: War in Life,a5658e5fb87340aa8c4b3bd8610ed0dd
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,Trolley,c8fbe1db8fea4a609efc900be0cd0301
817ebe18a7f14573b13c908f9792c390,Pandora: Beneath the Paradise,The Penthouse: War in Life,f6dd5986e43842e3a6497e1aa92c708b
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,The Glory,222e99e106ea4c77a813cada533ba427
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,My Name,9e3a7ea7a3724ae1863bafc75aa286f4
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,Better Days,
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,The Penthouse: War in Life,f6dd5986e43842e3a6497e1aa92c708b
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,Military Prosecutor Doberman,db7b62f428144d05857d3b9a6783a8fa
39d32332c2d44961bc25e34e297dcce9,The Glory Part 2,Lawless Lawyer,904d03fcc0ac4b09a6cfeca04ba398a5
f9860c4b65b746d7af2b545cd152a4b6,Our Dating Sim,Semantic Error,ec80f88a2e594a909facc164a0d73363
f9860c4b65b746d7af2b545cd152a4b6,Our Dating Sim,Individual Circumstances,13e0534998514029bd39c66254b65035
f9860c4b65b746d7af2b545cd152a4b6,Our Dating Sim,The New Employee,6b6da65381a7445db16949e0112202a3
f9860c4b65b746d7af2b545cd152a4b6,Our Dating Sim,Blueming,7edb2a10033f41a89fc05a1dc564698a
f9860c4b65b746d7af2b545cd152a4b6,Our Dating Sim,Roommates of Poongduck 304,1c135017a2ca403fb696b333753a71e1
